INFO  - 2014-01-23 20:56:00.012; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-01-23 20:56:00.039; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-01-23 20:56:00.441; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-01-23 20:56:00.460; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /home/jesse/Downloads/solr-4.6.0/example/solr/collection1/, dataDir=/home/jesse/Downloads/solr-4.6.0/example/solr/collection1/data/
INFO  - 2014-01-23 20:56:00.462; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2014-01-23 20:56:00.471; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-01-23 20:56:00.472; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-01-23 20:56:00.537; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/jesse/Downloads/solr-4.6.0/example/solr/collection1/data
INFO  - 2014-01-23 20:56:00.538; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/home/jesse/Downloads/solr-4.6.0/example/solr/collection1/data/index/
WARN  - 2014-01-23 20:56:00.539; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/home/jesse/Downloads/solr-4.6.0/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2014-01-23 20:56:00.554; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/jesse/Downloads/solr-4.6.0/example/solr/collection1/data/index
INFO  - 2014-01-23 20:56:00.793; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@/home/jesse/Downloads/solr-4.6.0/example/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@4a0ce796; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-01-23 20:56:00.794; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-01-23 20:56:00.804; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-01-23 20:56:00.805; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
